State_name,State_code,Year,Population,Sex,Median_household_income,Age_label,Age_group
Alabama,01,2023,34080,1,62212.0,32,31-45
Alabama,01,2021,31219,1,53913.0,33,31-45
Alabama,01,2022,32556,1,59674.0,33,31-45
Alabama,01,2023,33930,1,62212.0,33,31-45
Alabama,01,2021,30755,1,53913.0,34,31-45
Alabama,01,2022,31379,1,59674.0,34,31-45
Alabama,01,2023,32780,1,62212.0,34,31-45
Alabama,01,2021,30373,1,53913.0,35,31-45
Alabama,01,2022,30759,1,59674.0,35,31-45
Alabama,01,2023,31394,1,62212.0,35,31-45
Alabama,01,2021,30387,1,53913.0,36,31-45
Alabama,01,2022,30475,1,59674.0,36,31-45
Alabama,01,2023,30819,1,62212.0,36,31-45
Alabama,01,2021,29765,1,53913.0,37,31-45
Alabama,01,2022,30464,1,59674.0,37,31-45
Alabama,01,2023,30523,1,62212.0,37,31-45
Alabama,01,2021,30518,1,53913.0,38,31-45
Alabama,01,2022,29911,1,59674.0,38,31-45
Alabama,01,2023,30519,1,62212.0,38,31-45
Alabama,01,2021,30802,1,53913.0,39,31-45
Alabama,01,2022,30441,1,59674.0,39,31-45
Alabama,01,2023,29937,1,62212.0,39,31-45
Alabama,01,2021,30842,1,53913.0,40,31-45
Alabama,01,2022,30823,1,59674.0,40,31-45
Alabama,01,2023,30414,1,62212.0,40,31-45
Alabama,01,2021,31034,1,53913.0,41,31-45
Alabama,01,2022,30994,1,59674.0,41,31-45
Alabama,01,2023,31036,1,62212.0,41,31-45
Alabama,01,2021,29564,1,53913.0,42,31-45
Alabama,01,2022,31010,1,59674.0,42,31-45
Alabama,01,2023,30916,1,62212.0,42,31-45
Alabama,01,2021,29233,1,53913.0,43,31-45
Alabama,01,2022,29650,1,59674.0,43,31-45
Alabama,01,2023,31193,1,62212.0,43,31-45
Alabama,01,2021,29153,1,53913.0,44,31-45
Alabama,01,2022,29353,1,59674.0,44,31-45
Alabama,01,2023,29651,1,62212.0,44,31-45
Alabama,01,2021,27997,1,53913.0,45,31-45
Alabama,01,2022,29033,1,59674.0,45,31-45
Alabama,01,2023,29288,1,62212.0,45,31-45
Alabama,01,2021,28679,1,53913.0,46,46-60
Alabama,01,2022,28158,1,59674.0,46,46-60
Alabama,01,2023,29093,1,62212.0,46,46-60
Alabama,01,2021,28696,1,53913.0,47,46-60
Alabama,01,2022,28635,1,59674.0,47,46-60
Alabama,01,2023,28221,1,62212.0,47,46-60
Alabama,01,2021,29479,1,53913.0,48,46-60
Alabama,01,2022,28654,1,59674.0,48,46-60
Alabama,01,2023,28505,1,62212.0,48,46-60
Alabama,01,2021,31321,1,53913.0,49,46-60
Alabama,01,2022,29494,1,59674.0,49,46-60
Alabama,01,2023,28718,1,62212.0,49,46-60
Alabama,01,2021,33357,1,53913.0,50,46-60
Alabama,01,2022,31242,1,59674.0,50,46-60
Alabama,01,2023,29455,1,62212.0,50,46-60
Alabama,01,2021,32368,1,53913.0,51,46-60
Alabama,01,2022,33439,1,59674.0,51,46-60
Alabama,01,2023,31416,1,62212.0,51,46-60
Alabama,01,2021,30800,1,53913.0,52,46-60
Alabama,01,2022,32425,1,59674.0,52,46-60
Alabama,01,2023,33387,1,62212.0,52,46-60
Alabama,01,2021,30037,1,53913.0,53,46-60
Alabama,01,2022,30674,1,59674.0,53,46-60
Alabama,01,2023,32273,1,62212.0,53,46-60
Alabama,01,2021,30344,1,53913.0,54,46-60
Alabama,01,2022,30055,1,59674.0,54,46-60
Alabama,01,2023,30661,1,62212.0,54,46-60
Alabama,01,2021,30812,1,53913.0,55,46-60
Alabama,01,2022,30256,1,59674.0,55,46-60
Alabama,01,2023,29994,1,62212.0,55,46-60
Alabama,01,2021,32306,1,53913.0,56,46-60
Alabama,01,2022,30753,1,59674.0,56,46-60
Alabama,01,2023,30064,1,62212.0,56,46-60
Alabama,01,2021,33165,1,53913.0,57,46-60
Alabama,01,2022,32122,1,59674.0,57,46-60
Alabama,01,2023,30550,1,62212.0,57,46-60
Alabama,01,2021,33107,1,53913.0,58,46-60
Alabama,01,2022,32928,1,59674.0,58,46-60
Alabama,01,2023,31907,1,62212.0,58,46-60
Alabama,01,2021,33305,1,53913.0,59,46-60
Alabama,01,2022,32836,1,59674.0,59,46-60
Alabama,01,2023,32815,1,62212.0,59,46-60
Alabama,01,2021,33120,1,53913.0,60,46-60
Alabama,01,2022,32947,1,59674.0,60,46-60
Alabama,01,2023,32581,1,62212.0,60,46-60
Alabama,01,2021,32351,1,53913.0,61,61-75
Alabama,01,2022,32773,1,59674.0,61,61-75
Alabama,01,2023,32704,1,62212.0,61,61-75
Alabama,01,2021,31684,1,53913.0,62,61-75
Alabama,01,2022,32023,1,59674.0,62,61-75
Alabama,01,2023,32556,1,62212.0,62,61-75
Alabama,01,2021,31175,1,53913.0,63,61-75
Alabama,01,2022,31195,1,59674.0,63,61-75
Alabama,01,2023,31717,1,62212.0,63,61-75
Alabama,01,2021,31005,1,53913.0,64,61-75
Alabama,01,2022,30715,1,59674.0,64,61-75
Alabama,01,2023,30759,1,62212.0,64,61-75
Alabama,01,2021,29500,1,53913.0,65,61-75
Alabama,01,2022,30414,1,59674.0,65,61-75
Alabama,01,2023,30221,1,62212.0,65,61-75
Alabama,01,2021,28495,1,53913.0,66,61-75
Alabama,01,2022,29087,1,59674.0,66,61-75
Alabama,01,2023,29986,1,62212.0,66,61-75
Alabama,01,2021,27437,1,53913.0,67,61-75
Alabama,01,2022,27991,1,59674.0,67,61-75
Alabama,01,2023,28602,1,62212.0,67,61-75
Alabama,01,2021,26021,1,53913.0,68,61-75
Alabama,01,2022,26720,1,59674.0,68,61-75
Alabama,01,2023,27376,1,62212.0,68,61-75
Alabama,01,2021,24935,1,53913.0,69,61-75
Alabama,01,2022,25317,1,59674.0,69,61-75
Alabama,01,2023,26107,1,62212.0,69,61-75
Alabama,01,2021,23635,1,53913.0,70,61-75
Alabama,01,2022,24225,1,59674.0,70,61-75
Alabama,01,2023,24794,1,62212.0,70,61-75
Alabama,01,2021,22417,1,53913.0,71,61-75
Alabama,01,2022,22929,1,59674.0,71,61-75
Alabama,01,2023,23593,1,62212.0,71,61-75
Alabama,01,2021,21973,1,53913.0,72,61-75
Alabama,01,2022,21719,1,59674.0,72,61-75
Alabama,01,2023,22265,1,62212.0,72,61-75
Alabama,01,2021,21458,1,53913.0,73,61-75
Alabama,01,2022,21142,1,59674.0,73,61-75
Alabama,01,2023,21011,1,62212.0,73,61-75
Alabama,01,2021,22806,1,53913.0,74,61-75
Alabama,01,2022,20655,1,59674.0,74,61-75
Alabama,01,2023,20438,1,62212.0,74,61-75
Alabama,01,2021,15364,1,53913.0,75,61-75
Alabama,01,2022,21704,1,59674.0,75,61-75
Alabama,01,2023,19728,1,62212.0,75,61-75
Alabama,01,2021,14640,1,53913.0,76,76-84
Alabama,01,2022,14680,1,59674.0,76,76-84
Alabama,01,2023,20860,1,62212.0,76,76-84
